window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,70.1,25.92,1,2.36,0.70
2.0,70.1,18.86,1,1.10,0.70
4.0,40.7,17.10,1,1.58,0.70
6.0,40.8,25.57,1,1.80,0.70
8.0,40.8,23.19,1,1.60,0.70
10.0,40.8,23.63,1,1.33,0.70
12.0,40.8,24.32,1,1.50,0.70
14.0,40.6,21.15,1,1.38,0.70
16.0,58.5,24.12,1,2.05,0.70
18.0,58.5,32.18,1,2.59,0.70
20.0,58.5,31.70,1,2.77,0.70
22.0,58.5,43.66,1,3.61,0.70
24.0,58.5,41.77,1,3.21,0.70
26.0,58.5,49.01,1,3.68,0.70
28.0,58.5,48.65,1,3.64,0.70
30.0,58.5,34.10,1,3.01,0.70
32.0,58.5,29.05,1,3.49,0.70
34.0,58.5,31.10,1,3.39,0.70
36.0,58.5,28.73,1,3.16,0.70
38.0,58.5,35.92,1,3.68,0.70
40.0,58.5,35.63,1,3.47,0.70
42.0,58.5,34.00,1,3.92,0.70
44.0,58.5,32.50,1,3.42,0.70
46.0,58.5,33.65,1,3.62,0.70
48.0,58.5,30.01,1,2.57,0.70
50.0,58.5,26.51,1,2.62,0.70
52.0,58.5,29.38,1,3.21,0.70
54.0,58.5,28.55,1,2.95,0.70
56.0,58.5,35.31,1,3.46,0.70
58.0,58.5,39.03,1,3.98,0.70
60.0,58.5,36.80,1,3.42,0.70
62.0,58.5,32.36,1,2.84,0.70
64.0,58.5,32.65,1,3.47,0.70
66.0,58.5,29.01,1,2.56,0.70
68.0,58.5,30.40,1,2.75,0.70
70.0,58.5,28.25,1,2.53,0.70
72.0,40.6,22.41,1,1.23,0.70
74.0,40.6,19.89,1,1.11,0.70
76.0,40.7,21.28,1,1.58,0.70
78.0,58.5,26.57,1,2.70,0.70
80.0,58.5,26.99,1,2.68,0.70
82.0,58.5,27.86,1,2.80,0.70
84.0,58.5,35.13,1,2.95,0.70
86.0,58.5,38.26,1,3.64,0.70
88.0,58.5,41.33,1,4.03,0.70
90.0,58.5,38.61,1,3.66,0.70
92.0,58.5,31.96,1,3.95,0.70
94.0,58.5,33.51,1,3.38,0.70
96.0,58.5,32.89,1,3.83,0.70
98.0,58.5,35.69,1,3.91,0.70
100.0,58.5,42.84,1,4.25,0.70
102.0,58.5,35.65,1,3.72,0.70
104.0,58.5,38.96,1,4.24,0.70
106.0,58.5,37.66,1,3.76,0.70
108.0,58.5,33.68,1,2.84,0.70
110.0,58.5,33.90,1,3.35,0.70
112.0,58.5,33.30,1,3.19,0.70
114.0,58.5,28.83,1,3.04,0.70
116.0,58.5,33.13,1,3.12,0.70
118.0,58.5,38.91,1,3.90,0.70
120.0,58.5,38.94,1,4.63,0.70
122.0,58.5,35.63,1,4.37,0.70
124.0,58.5,33.36,1,3.11,0.70
126.0,58.5,24.55,1,2.56,0.70
128.0,58.5,19.07,1,2.00,0.70
130.0,58.5,25.40,1,2.72,0.70
132.0,58.4,25.10,1,2.51,0.70
134.0,58.5,31.00,1,2.85,0.70
136.0,58.5,31.58,1,3.43,0.70
138.0,58.5,27.29,1,2.44,0.70
140.0,58.5,26.92,1,2.15,0.70
142.0,58.5,22.87,1,1.85,0.70
144.0,58.5,25.14,1,2.21,0.70
146.0,58.5,26.64,1,2.38,0.70
148.0,58.5,27.52,1,3.21,0.70
150.0,58.5,24.64,1,2.68,0.70
152.0,54.6,18.23,1,1.60,0.70
154.0,40.7,22.99,1,1.39,0.70
156.0,40.7,20.00,1,1.51,0.70
158.0,40.8,20.85,1,1.34,0.70
160.0,58.5,22.95,1,1.98,0.70
162.0,58.5,29.34,1,3.25,0.70
164.0,58.5,28.26,1,2.88,0.70
166.0,58.5,31.78,1,2.99,0.70
168.0,58.5,37.17,1,3.67,0.70
170.0,58.5,36.01,1,3.65,0.70
172.0,58.5,25.97,1,2.49,0.70
174.0,58.5,23.47,1,2.35,0.70
176.0,40.8,17.73,1,1.58,0.70
178.0,45.9,20.28,1,2.03,0.70
180.0,45.9,20.54,1,1.67,0.70
182.0,45.9,21.02,1,1.32,0.70
184.0,267.9,18.11,1,1.07,0.70
186.0,45.8,18.71,1,1.16,0.70
188.0,45.9,21.67,1,1.31,0.70
190.0,45.8,19.39,1,1.06,0.70
192.0,45.9,17.11,1,1.25,0.70
194.0,45.9,15.25,1,1.28,0.70
196.0,40.9,13.75,1,1.06,0.70
198.0,41.0,15.53,1,1.21,0.70
200.0,58.7,19.04,1,1.97,0.70
202.0,58.7,18.03,1,1.53,0.70
204.0,58.7,26.12,1,2.56,0.70
206.0,58.7,32.97,1,3.36,0.70
208.0,58.7,30.40,1,3.13,0.70
210.0,58.7,33.67,1,3.42,0.70
212.0,58.7,26.30,1,2.74,0.70
214.0,58.8,21.77,1,2.40,0.70
216.0,40.7,36.70,1,1.19,0.70
