window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,800.0,90.66,1,1.83,0.80
2.0,800.0,89.84,1,1.84,0.80
4.0,800.0,95.24,1,1.75,0.80
6.0,800.0,93.00,1,1.81,0.80
8.0,800.0,102.49,1,1.81,0.80
10.0,800.0,100.81,1,1.83,0.80
12.0,800.0,101.73,1,1.80,0.80
14.0,800.0,99.71,1,1.84,0.80
16.0,800.0,98.57,1,1.91,0.80
18.0,800.0,94.66,1,1.83,0.80
20.0,800.0,101.40,1,1.78,0.80
22.0,800.0,96.64,1,1.80,0.80
24.0,800.0,98.35,1,1.78,0.80
26.0,800.0,101.25,1,1.78,0.80
28.0,800.0,95.79,1,1.80,0.80
30.0,800.0,103.57,1,1.84,0.80
32.0,800.0,102.39,1,1.88,0.80
34.0,800.0,99.47,1,1.81,0.80
36.0,800.0,100.54,1,1.84,0.80
38.0,800.0,94.95,1,1.83,0.80
40.0,800.0,91.49,1,1.80,0.80
42.0,800.0,95.23,1,1.83,0.80
44.0,800.0,100.58,1,1.82,0.80
46.0,800.0,97.19,1,1.87,0.80
48.0,800.0,99.58,1,1.89,0.80
50.0,800.0,87.84,1,1.91,0.80
52.0,800.0,96.57,1,1.86,0.80
54.0,800.0,99.56,1,1.83,0.80
56.0,800.0,96.60,1,1.83,0.80
58.0,800.0,91.95,1,1.82,0.80
60.0,800.0,95.79,1,1.84,0.80
62.0,800.0,98.75,1,1.81,0.80
64.0,800.0,102.43,1,1.85,0.80
66.0,800.0,100.62,1,1.80,0.80
68.0,800.0,107.21,1,1.87,0.80
70.0,800.0,101.66,1,1.83,0.80
72.0,800.0,101.55,1,1.79,0.80
74.0,800.0,107.89,1,1.82,0.80
76.0,800.0,97.87,1,1.89,0.80
78.0,800.0,99.83,1,1.93,0.80
80.0,800.0,96.66,1,1.90,0.80
82.0,800.0,97.32,1,1.94,0.80
84.0,800.0,94.00,1,1.88,0.80
86.0,800.0,96.60,1,1.88,0.80
88.0,800.0,99.74,1,1.83,0.80
90.0,800.0,99.68,1,1.81,0.80
92.0,800.0,98.92,1,1.75,0.80
94.0,800.0,91.75,1,1.84,0.80
96.0,800.0,95.61,1,1.77,0.80
98.0,800.0,93.91,1,1.83,0.80
100.0,800.0,100.53,1,1.86,0.80
102.0,800.0,100.20,1,1.84,0.80
104.0,800.0,100.74,1,1.86,0.80
106.0,800.0,97.08,1,1.79,0.80
108.0,800.0,94.71,1,1.82,0.80
110.0,800.0,98.56,1,1.95,0.80
112.0,800.0,97.91,1,1.87,0.80
114.0,800.0,95.45,1,1.94,0.80
116.0,800.0,93.71,1,1.92,0.80
118.0,800.0,96.31,1,1.92,0.80
120.0,800.0,100.12,1,1.89,0.80
122.0,800.0,99.16,1,1.87,0.80
124.0,800.0,98.43,1,1.89,0.80
126.0,800.0,101.97,1,1.94,0.80
128.0,800.0,101.16,1,1.88,0.80
130.0,800.0,90.41,1,1.91,0.80
132.0,800.0,97.83,1,1.83,0.80
134.0,800.0,101.63,1,1.84,0.80
136.0,800.0,106.18,1,1.84,0.80
138.0,800.0,95.71,1,1.82,0.80
140.0,800.0,101.59,1,1.81,0.80
142.0,800.0,99.86,1,1.74,0.80
144.0,800.0,96.01,1,1.82,0.80
146.0,800.0,96.01,1,1.87,0.80
148.0,800.0,94.76,1,1.80,0.80
150.0,800.0,99.10,1,1.85,0.80
152.0,800.0,101.98,1,1.87,0.80
154.0,800.0,107.77,1,1.86,0.80
156.0,800.0,104.61,1,1.88,0.80
158.0,800.0,99.80,1,1.99,0.80
160.0,800.0,97.88,1,1.94,0.80
162.0,800.0,96.61,1,1.92,0.80
164.0,800.0,88.73,1,1.91,0.80
166.0,800.0,96.30,1,1.84,0.80
168.0,800.0,97.72,1,1.87,0.80
170.0,800.0,96.30,1,1.89,0.80
172.0,800.0,97.78,1,1.86,0.80
174.0,800.0,101.19,1,1.84,0.80
176.0,800.0,95.58,1,1.87,0.80
178.0,800.0,89.28,1,1.77,0.80
180.0,800.0,90.15,1,1.74,0.80
182.0,800.0,97.23,1,1.80,0.80
184.0,800.0,88.43,1,1.80,0.80
186.0,800.0,96.60,1,1.83,0.80
188.0,800.0,91.95,1,1.85,0.80
190.0,800.0,92.22,1,1.91,0.80
192.0,800.0,88.70,1,1.90,0.80
194.0,800.0,90.51,1,1.89,0.80
196.0,800.0,98.22,1,1.91,0.80
198.0,800.0,97.68,1,1.85,0.80
200.0,800.0,100.75,1,1.78,0.80
202.0,800.0,101.70,1,1.78,0.80
204.0,800.0,101.04,1,1.80,0.80
206.0,800.0,99.73,1,1.82,0.80
208.0,800.0,101.25,1,1.84,0.80
210.0,800.0,101.10,1,1.80,0.80
212.0,800.0,90.78,1,1.86,0.80
214.0,800.0,87.95,1,1.86,0.80
216.0,800.0,84.13,1,1.88,0.80
