window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,800.0,158.90,1,7.95,0.60
2.0,800.0,149.16,1,8.48,0.60
4.0,800.0,152.56,1,8.47,0.60
6.0,800.0,150.79,1,6.03,0.60
8.0,800.0,164.96,1,6.86,0.60
10.0,800.0,161.36,1,6.54,0.60
12.0,800.0,160.97,1,6.47,0.60
14.0,800.0,151.59,1,6.63,0.60
16.0,800.0,147.02,1,6.42,0.60
18.0,800.0,141.64,1,5.35,0.60
20.0,800.0,152.20,1,5.39,0.60
22.0,800.0,142.86,1,3.90,0.60
24.0,800.0,145.19,1,4.06,0.60
26.0,800.0,157.65,1,3.82,0.60
28.0,800.0,151.81,1,3.72,0.60
30.0,800.0,161.15,1,5.42,0.60
32.0,800.0,157.89,1,6.25,0.60
34.0,800.0,160.50,1,5.77,0.60
36.0,800.0,155.32,1,5.94,0.60
38.0,800.0,146.74,1,4.84,0.60
40.0,800.0,136.24,1,4.44,0.60
42.0,800.0,143.08,1,4.91,0.60
44.0,800.0,154.34,1,5.55,0.60
46.0,800.0,149.96,1,4.96,0.60
48.0,800.0,156.96,1,6.03,0.60
50.0,800.0,141.96,1,6.18,0.60
52.0,800.0,157.74,1,5.97,0.60
54.0,800.0,158.50,1,6.09,0.60
56.0,800.0,154.73,1,4.91,0.60
58.0,800.0,144.72,1,4.05,0.60
60.0,800.0,151.68,1,4.68,0.60
62.0,800.0,152.34,1,5.24,0.60
64.0,800.0,162.17,1,5.38,0.60
66.0,800.0,160.83,1,6.21,0.60
68.0,800.0,175.43,1,6.72,0.60
70.0,800.0,166.16,1,6.95,0.60
72.0,800.0,161.36,1,7.39,0.60
74.0,800.0,169.29,1,8.36,0.60
76.0,800.0,140.91,1,6.49,0.60
78.0,800.0,140.19,1,6.39,0.60
80.0,800.0,140.48,1,6.11,0.60
82.0,800.0,144.17,1,6.25,0.60
84.0,800.0,140.95,1,4.47,0.60
86.0,800.0,145.14,1,4.44,0.60
88.0,800.0,147.96,1,4.08,0.60
90.0,800.0,147.63,1,4.33,0.60
92.0,800.0,150.56,1,5.45,0.60
94.0,800.0,139.16,1,4.71,0.60
96.0,800.0,150.08,1,5.57,0.60
98.0,800.0,145.98,1,4.63,0.60
100.0,800.0,156.41,1,4.23,0.60
102.0,800.0,153.94,1,4.87,0.60
104.0,800.0,153.26,1,4.48,0.60
106.0,800.0,144.72,1,4.47,0.60
108.0,800.0,148.57,1,5.22,0.60
110.0,800.0,146.68,1,5.47,0.60
112.0,800.0,145.58,1,5.25,0.60
114.0,800.0,141.21,1,5.96,0.60
116.0,800.0,141.62,1,5.30,0.60
118.0,800.0,145.49,1,4.39,0.60
120.0,800.0,150.38,1,4.44,0.60
122.0,800.0,155.19,1,4.93,0.60
124.0,800.0,154.97,1,5.20,0.60
126.0,800.0,162.30,1,7.16,0.60
128.0,800.0,158.17,1,8.66,0.60
130.0,800.0,140.91,1,6.76,0.60
132.0,800.0,146.42,1,7.61,0.60
134.0,800.0,150.28,1,6.46,0.60
136.0,800.0,159.31,1,6.21,0.60
138.0,800.0,143.83,1,6.46,0.60
140.0,800.0,157.08,1,7.38,0.60
142.0,800.0,155.27,1,8.06,0.60
144.0,800.0,149.44,1,6.79,0.60
146.0,800.0,144.62,1,6.09,0.60
148.0,800.0,146.97,1,5.99,0.60
150.0,800.0,151.64,1,7.08,0.60
152.0,800.0,158.08,1,9.17,0.60
154.0,800.0,166.72,1,7.26,0.60
156.0,800.0,157.91,1,8.01,0.60
158.0,800.0,149.08,1,7.16,0.60
160.0,800.0,144.79,1,7.42,0.60
162.0,800.0,148.36,1,6.63,0.60
164.0,800.0,134.91,1,6.07,0.60
166.0,800.0,146.49,1,5.68,0.60
168.0,800.0,150.84,1,4.75,0.60
170.0,800.0,152.46,1,4.91,0.60
172.0,800.0,149.80,1,6.35,0.60
174.0,800.0,158.71,1,7.43,0.60
176.0,800.0,150.84,1,8.69,0.60
178.0,800.0,141.40,1,6.67,0.60
180.0,800.0,135.28,1,6.35,0.60
182.0,800.0,140.04,1,6.48,0.60
184.0,800.0,130.60,1,7.34,0.60
186.0,800.0,142.41,1,7.47,0.60
188.0,800.0,137.04,1,6.76,0.60
190.0,800.0,138.75,1,7.17,0.60
192.0,800.0,140.09,1,8.26,0.60
194.0,800.0,145.16,1,9.70,0.60
196.0,800.0,161.37,1,11.10,0.60
198.0,800.0,160.55,1,10.02,0.60
200.0,800.0,163.02,1,9.99,0.60
202.0,800.0,165.64,1,10.04,0.60
204.0,800.0,163.32,1,7.39,0.60
206.0,800.0,160.65,1,5.68,0.60
208.0,800.0,161.10,1,5.99,0.60
210.0,800.0,159.81,1,5.28,0.60
212.0,800.0,140.98,1,6.14,0.60
214.0,800.0,125.99,1,7.24,0.60
216.0,800.0,80.53,1,3.05,0.60
