t_s,lag_ms,peak_ratio,confident,rms_db,comb_ratio,beat_period_ms
8,44,5.22,1,-42.5,1.03,1130.4
10,999,5.21,1,-42.0,1.03,565.5
12,43,6.40,1,-43.0,1.22,565.3
14,43,7.77,1,-44.9,1.43,565.4
16,42,6.54,1,-48.5,1.20,565.5
18,42,9.24,1,-50.7,1.37,565.7
20,93,8.55,1,-55.2,1.17,565.3
22,1925,11.33,1,-55.4,1.33,1200.0
24,1925,10.86,1,-55.4,1.42,962.0
26,58,5.25,1,-55.7,1.07,963.6
29,58,6.60,1,-55.7,1.14,964.4
31,58,7.46,1,-55.6,1.22,949.1
33,92,6.60,1,-55.6,1.02,425.1
35,58,6.87,1,-55.6,1.22,425.7
37,58,5.89,1,-55.6,1.28,845.1
39,58,5.25,1,-55.6,1.08,587.5
41,58,6.85,1,-55.6,1.56,876.8
43,58,7.11,1,-55.5,1.28,876.1
45,58,7.44,1,-55.4,1.39,937.4
47,58,9.17,1,-55.3,1.48,268.1
49,58,9.74,1,-55.3,1.67,811.5
51,58,9.56,1,-55.4,1.72,1151.2
53,92,12.40,1,-55.2,1.64,511.7
55,92,10.82,1,-55.1,1.71,693.5
57,92,9.50,1,-54.9,1.51,693.4
59,91,9.15,1,-54.7,1.33,693.4
61,108,10.89,1,-54.6,1.92,693.3
63,2070,14.97,1,-54.3,2.07,1057.6
65,2070,15.24,1,-54.3,2.43,1057.2
67,2070,11.97,1,-54.3,1.69,1056.9
69,1273,7.99,1,-52.4,1.03,1077.6
72,44,15.76,1,-48.9,1.21,1077.5
74,44,11.89,1,-48.2,1.11,1077.5
76,44,12.24,1,-48.2,1.01,1077.8
78,44,14.03,1,-48.9,1.03,1077.8
80,42,9.63,1,-52.5,1.17,1078.0
82,58,9.48,1,-55.1,1.16,939.0
84,58,11.16,1,-55.2,1.78,939.1
86,58,10.11,1,-55.0,1.79,396.1
88,58,13.38,1,-53.7,2.46,651.3
90,58,12.38,1,-53.5,2.26,1192.6
92,58,11.27,1,-53.3,1.75,613.1
94,58,10.74,1,-53.6,1.97,1041.7
96,58,8.84,1,-54.5,1.65,1040.4
98,58,8.71,1,-54.5,1.48,1042.6
100,58,9.76,1,-54.5,1.50,1044.1
102,1127,18.89,1,-52.7,1.58,1012.6
104,80,12.94,1,-50.8,1.04,458.5
106,80,11.94,1,-50.1,1.07,884.5
108,1126,11.09,1,-49.7,1.04,523.4
110,82,17.36,1,-46.9,1.30,523.4
112,87,20.78,1,-27.9,1.12,523.4
115,65,12.06,1,-25.9,1.04,265.0
117,42,18.05,1,-23.9,1.77,906.4
119,42,18.41,1,-24.0,1.82,293.3
121,49,17.42,1,-26.2,1.68,261.3
123,45,33.38,1,-26.6,1.93,282.7
125,50,17.82,1,-26.0,1.22,282.7
127,50,12.62,1,-25.7,1.19,1066.4
129,50,12.65,1,-25.5,1.19,1064.3
131,44,16.72,1,-28.0,1.41,990.6
133,997,15.94,1,-36.1,1.34,989.2
135,989,18.34,1,-35.3,1.59,990.5
137,989,20.59,1,-35.9,1.71,991.4
139,59,13.04,1,-34.9,1.07,991.3
141,989,14.47,1,-34.8,1.12,991.3
143,989,15.80,1,-35.0,1.01,991.6
145,989,21.14,1,-35.3,1.53,991.4
147,994,18.79,1,-37.0,1.05,992.0
149,994,17.30,1,-37.0,1.13,990.3
151,994,21.71,1,-37.2,1.13,990.4
153,993,17.99,1,-37.3,1.14,989.8
155,61,18.02,1,-34.1,1.39,492.8
158,67,16.62,1,-34.2,1.23,492.6
160,50,22.36,1,-32.0,1.38,990.3
162,47,20.42,1,-32.1,1.24,991.4
164,46,16.30,1,-30.8,1.05,993.5
166,46,16.31,1,-30.8,1.09,997.3
168,115,14.37,1,-32.4,1.09,995.6
170,43,16.73,1,-31.3,1.11,994.4
172,137,16.45,1,-20.9,1.00,994.3
